StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,REF,STRUCTURE_1,STRUCTURE_2,STRUCTURE_3,STRUCTURE_4,DIVERSITY_1,NATIVENESS_1,EXPERTID,CONNECTIVITY_ahead _1,CONNECTIVITY_ahead _2,CONNECTIVITY_ahead _3,CONNECTIVITY_ahead _4,CONNECTIVITY_within_1,SPECIES TALLY_1,SPECIES TALLY_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Write the unique transect reference (e.g. 2b) for this survey and orient yourself,What percentage of the area within this survey block has vegetation? - up to 10cm height,What percentage of the area within this survey block has vegetation? - 10-50cm height,What percentage of the area within this survey block has vegetation? - 50cm to 2m,What percentage of the area within this survey block has vegetation? - 2m+,How many species are visible in this block? - Total,How many NATIVE species are visible in this block? - Total,"Were there any species you struggled to determine the nativeness of? (If 'yes', photograph them for expert ID)","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - up to 10cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 10-50cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 50cm to 2m","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 2m+","Within only this block, how long in metres is the largest completely unvegetated gap between patches of vegetation? - Unvegetated area","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - All species","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - Native species"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID125989747_1""}","{""ImportId"":""QID125989747_2""}","{""ImportId"":""QID125989747_3""}","{""ImportId"":""QID125989747_4""}","{""ImportId"":""QID125989749_1""}","{""ImportId"":""QID125989751_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID125989753_1""}","{""ImportId"":""QID125989753_2""}","{""ImportId"":""QID125989753_3""}","{""ImportId"":""QID125989753_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_4""}"
2024-12-17 18:53:54,2024-12-17 18:59:45,IP Address,1.136.106.209,100,350,TRUE,2024-12-17 18:59:45,R_4jfDmCxmrHhjJo5,,,,,-37.8159,144.9669,anonymous,EN,1a,5,,,60,4,,No,3,,,6,3,,
2024-12-17 18:59:51,2024-12-17 19:01:26,IP Address,1.136.106.209,100,95,TRUE,2024-12-17 19:01:26,R_43SvMTEUW2O4a8V,,,,,-37.8159,144.9669,anonymous,EN,2a,10,5,,80,5,1,No,7,,,2,2,,
2024-12-17 19:01:35,2024-12-17 19:04:38,IP Address,1.136.106.209,100,182,TRUE,2024-12-17 19:04:38,R_4qeK4DReWTaTITh,,,,,-37.8159,144.9669,anonymous,EN,3a,15,,,70,3,1,No,3,,,6,3,,
2024-12-17 19:05:55,2024-12-17 19:06:50,IP Address,1.136.106.209,100,54,TRUE,2024-12-17 19:06:50,R_4ZeH1czLzazghLX,,,,,-37.8159,144.9669,anonymous,EN,4a,15,,,30,2,1,No,3,,,3,3,,
2024-12-17 19:06:52,2024-12-17 19:08:26,IP Address,1.136.106.209,100,94,TRUE,2024-12-17 19:08:27,R_48P8vsCCUJ2Tuvi,,,,,-37.8159,144.9669,anonymous,EN,5a,20,,,70,4,2,No,3,,,4,3,,
2024-12-17 19:08:38,2024-12-17 19:09:50,IP Address,1.136.106.209,100,72,TRUE,2024-12-17 19:09:51,R_4qrpa7SffBUl7Fg,,,,,-37.8159,144.9669,anonymous,EN,6a,10,,5,30,3,,No,3,,,5,6,,
2024-12-17 19:09:59,2024-12-17 19:11:03,IP Address,1.136.106.209,100,64,TRUE,2024-12-17 19:11:04,R_4XPmizqqNFZPEU9,,,,,-37.8159,144.9669,anonymous,EN,7a,30,,5,60,3,1,No,,,,,,,
2024-12-17 19:11:10,2024-12-17 19:12:31,IP Address,1.136.106.209,100,80,TRUE,2024-12-17 19:12:31,R_4J284UozPoQKiC5,,,,,-37.8159,144.9669,anonymous,EN,1b,20,,,20,4,,No,3,3,10,7,4,,
