StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,REF,STRUCTURE_1,STRUCTURE_2,STRUCTURE_3,STRUCTURE_4,DIVERSITY_1,NATIVENESS_1,EXPERTID,CONNECTIVITY_ahead _1,CONNECTIVITY_ahead _2,CONNECTIVITY_ahead _3,CONNECTIVITY_ahead _4,CONNECTIVITY_within_1,SPECIES TALLY_1,SPECIES TALLY_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Write the unique transect reference (e.g. 2b) for this survey and orient yourself,What percentage of the area within this survey block has vegetation? - up to 10cm height,What percentage of the area within this survey block has vegetation? - 10-50cm height,What percentage of the area within this survey block has vegetation? - 50cm to 2m,What percentage of the area within this survey block has vegetation? - 2m+,How many species are visible in this block? - Total,How many NATIVE species are visible in this block? - Total,"Were there any species you struggled to determine the nativeness of? (If 'yes', photograph them for expert ID)","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - up to 10cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 10-50cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 50cm to 2m","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 2m+","Within only this block, how long in metres is the largest completely unvegetated gap between patches of vegetation? - Unvegetated area","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - All species","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - Native species"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID125989747_1""}","{""ImportId"":""QID125989747_2""}","{""ImportId"":""QID125989747_3""}","{""ImportId"":""QID125989747_4""}","{""ImportId"":""QID125989749_1""}","{""ImportId"":""QID125989751_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID125989753_1""}","{""ImportId"":""QID125989753_2""}","{""ImportId"":""QID125989753_3""}","{""ImportId"":""QID125989753_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_4""}"
2024-11-17 16:16:09,2024-11-17 16:21:04,IP Address,107.77.230.130,100,294,TRUE,2024-11-17 16:21:04,R_6GV2wZ0gDYBUJIs,,,,,33.9322,-118.2488,anonymous,EN,1a,22,22,5,1,10,2,Yes,2,4,3,,2,,
2024-11-17 16:21:19,2024-11-17 16:24:05,IP Address,107.77.230.130,100,166,TRUE,2024-11-17 16:24:06,R_6m4zbBqF58zpHmw,,,,,33.9322,-118.2488,anonymous,EN,2a,5,3,2,5,4,1,Yes,4,10,10,4,3,,
2024-11-17 16:24:18,2024-11-17 16:25:51,IP Address,107.77.230.130,100,92,TRUE,2024-11-17 16:25:51,R_1NPbiFe51m4pxHH,,,,,33.9322,-118.2488,anonymous,EN,3a,1,1,,2,4,1,Yes,30,30,30,30,4,,
2024-11-17 16:25:55,2024-11-17 16:28:18,IP Address,107.77.230.130,100,142,TRUE,2024-11-17 16:28:18,R_3vaqsRmxaim8DS1,,,,,33.9322,-118.2488,anonymous,EN,4a,0,0,0,1,1,0,No,4,4,,4,20,,
2024-11-17 16:28:20,2024-11-17 16:30:05,IP Address,107.77.230.130,100,105,TRUE,2024-11-17 16:30:05,R_14qvfEBh9LqDEnV,,,,,33.9322,-118.2488,anonymous,EN,5a,1,1,0,2,2,0,No,6,6,0,2,8,,
2024-11-17 16:30:15,2024-11-17 16:31:59,IP Address,107.77.230.130,100,104,TRUE,2024-11-17 16:32:00,R_3f36QxNzPxsrHlY,,,,,33.9322,-118.2488,anonymous,EN,6a,1,2,2,1,3,,No,15,15,30,8,3,,
2024-11-17 16:32:08,2024-11-17 16:33:35,IP Address,107.77.230.130,100,86,TRUE,2024-11-17 16:33:36,R_7MoE9AEWSNzKbDL,,,,,33.9322,-118.2488,anonymous,EN,7a,2,2,1,1,2,0,No,10,10,12,8,6,,
2024-11-17 16:35:20,2024-11-17 16:37:00,IP Address,107.77.230.130,100,99,TRUE,2024-11-17 16:37:00,R_1VOoauoSQ5dPqmC,,,,,33.9322,-118.2488,anonymous,EN,8a,8,8,5,5,4,1,Yes,30,30,30,4,2,,
