StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,REF,STRUCTURE_1,STRUCTURE_2,STRUCTURE_3,STRUCTURE_4,DIVERSITY_1,NATIVENESS_1,EXPERTID,CONNECTIVITY_ahead _1,CONNECTIVITY_ahead _2,CONNECTIVITY_ahead _3,CONNECTIVITY_ahead _4,CONNECTIVITY_within_1,SPECIES TALLY_1,SPECIES TALLY_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Write the unique transect reference (e.g. 2b) for this survey and orient yourself,What percentage of the area within this survey block has vegetation? - up to 10cm height,What percentage of the area within this survey block has vegetation? - 10-50cm height,What percentage of the area within this survey block has vegetation? - 50cm to 2m,What percentage of the area within this survey block has vegetation? - 2m+,How many species are visible in this block? - Total,How many NATIVE species are visible in this block? - Total,"Were there any species you struggled to determine the nativeness of? (If 'yes', photograph them for expert ID)","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - up to 10cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 10-50cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 50cm to 2m","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 2m+","Within only this block, how long in metres is the largest completely unvegetated gap between patches of vegetation? - Unvegetated area","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - All species","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - Native species"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID125989747_1""}","{""ImportId"":""QID125989747_2""}","{""ImportId"":""QID125989747_3""}","{""ImportId"":""QID125989747_4""}","{""ImportId"":""QID125989749_1""}","{""ImportId"":""QID125989751_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID125989753_1""}","{""ImportId"":""QID125989753_2""}","{""ImportId"":""QID125989753_3""}","{""ImportId"":""QID125989753_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_4""}"
2024-10-15 03:16:14,2024-10-15 03:19:24,IP Address,1.127.31.212,100,190,TRUE,2024-10-15 03:19:24,R_4LkcEL6BVfXdRGk,,,,,-31.9764,115.861,anonymous,EN,10b,,,0,4,1,1,No,10,10,,10,20,,
2024-10-15 03:19:37,2024-10-15 03:21:47,IP Address,1.127.31.212,100,130,TRUE,2024-10-15 03:21:48,R_4c5Gqso9Ibo4Vhf,,,,,-31.9764,115.861,anonymous,EN,9b,,,,,,,No,5,5,5,10,20,,
2024-10-15 03:21:57,2024-10-15 03:25:10,IP Address,1.127.31.212,100,193,TRUE,2024-10-15 03:25:10,R_41Z1PadF9fk6hKV,,,,,-31.9764,115.861,anonymous,EN,8b,5,50,5,25,9,7,No,4,,10,10,3,,
2024-10-15 03:25:17,2024-10-15 03:27:50,IP Address,1.127.31.212,100,153,TRUE,2024-10-15 03:27:53,R_4CDT1nNuv7zq5mV,,,,,-31.9764,115.861,anonymous,EN,7b,90,,5,5,3,2,No,1,5,,2,0,,
2024-10-15 03:27:58,2024-10-15 03:30:51,IP Address,1.127.31.212,100,172,TRUE,2024-10-15 03:30:51,R_4OIgaR1qxY9wKOM,,,,,-31.9764,115.861,anonymous,EN,6b,91,5,5,10,14,8,No,0,0,0,8,1,,
2024-10-15 03:31:02,2024-10-15 03:34:22,IP Address,1.127.31.212,100,200,TRUE,2024-10-15 03:34:22,R_4anxYSImNceldLG,,,,,-31.9764,115.861,anonymous,EN,5b,75,50,15,51,9,3,No,0,6,6,6,3,,
2024-10-15 03:34:42,2024-10-15 03:39:50,IP Address,1.127.31.212,100,307,TRUE,2024-10-15 03:39:51,R_48INKo0Yatvtefv,,,,,-31.9764,115.861,anonymous,EN,4b,52,33,15,31,14,8,No,0,,,0,0,,
2024-10-15 03:40:53,2024-10-15 03:43:57,IP Address,1.127.31.212,100,183,TRUE,2024-10-15 03:43:58,R_4pAQxFqhaUnoAjU,,,,,-31.9764,115.861,anonymous,EN,3b,63,11,5,61,7,4,No,5,,,7,2,,
