StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,REF,STRUCTURE_1,STRUCTURE_2,STRUCTURE_3,STRUCTURE_4,DIVERSITY_1,NATIVENESS_1,EXPERTID,CONNECTIVITY_ahead _1,CONNECTIVITY_ahead _2,CONNECTIVITY_ahead _3,CONNECTIVITY_ahead _4,CONNECTIVITY_within_1,SPECIES TALLY_1,SPECIES TALLY_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Write the unique transect reference (e.g. 2b) for this survey and orient yourself,What percentage of the area within this survey block has vegetation? - up to 10cm height,What percentage of the area within this survey block has vegetation? - 10-50cm height,What percentage of the area within this survey block has vegetation? - 50cm to 2m,What percentage of the area within this survey block has vegetation? - 2m+,How many species are visible in this block? - Total,How many NATIVE species are visible in this block? - Total,"Were there any species you struggled to determine the nativeness of? (If 'yes', photograph them for expert ID)","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - up to 10cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 10-50cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 50cm to 2m","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 2m+","Within only this block, how long in metres is the largest completely unvegetated gap between patches of vegetation? - Unvegetated area","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - All species","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - Native species"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID125989747_1""}","{""ImportId"":""QID125989747_2""}","{""ImportId"":""QID125989747_3""}","{""ImportId"":""QID125989747_4""}","{""ImportId"":""QID125989749_1""}","{""ImportId"":""QID125989751_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID125989753_1""}","{""ImportId"":""QID125989753_2""}","{""ImportId"":""QID125989753_3""}","{""ImportId"":""QID125989753_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_4""}"
2024-12-09 06:19:08,2024-12-09 06:20:41,IP Address,49.245.4.205,100,93,TRUE,2024-12-09 06:20:42,R_4S8rxZxTCnQO6cS,,,,,1.3296,103.8799,anonymous,EN,1a,1,43,4,1,9,2,No,1,,,1,,,
2024-12-09 06:20:43,2024-12-09 06:22:12,IP Address,49.245.4.205,100,89,TRUE,2024-12-09 06:22:13,R_4ro3YpYEILPo4DS,,,,,1.3296,103.8799,anonymous,EN,1b,5,1,3,1,11,4,No,,1,,1,9,,
2024-12-09 06:22:14,2024-12-09 06:23:49,IP Address,49.245.4.205,100,94,TRUE,2024-12-09 06:23:50,R_4xZmfNUnhDMplBL,,,,,1.3296,103.8799,anonymous,EN,2a,35,7,6,1,13,3,No,,,0,3,1,0,
2024-12-09 06:23:52,2024-12-09 06:25:09,IP Address,49.245.4.205,100,76,TRUE,2024-12-09 06:25:10,R_4urf7eOfsbBtQJP,,,,,1.3296,103.8799,anonymous,EN,2b,4,1,,1,6,1,No,0,5,,2,1,,
2024-12-09 06:25:11,2024-12-09 06:26:51,IP Address,49.245.4.205,100,100,TRUE,2024-12-09 06:26:51,R_4wULv9pCEhRDTrP,,,,,1.3296,103.8799,anonymous,EN,3a,5,10,29,4,20,3,No,0,7,0,7,1,,
2024-12-09 06:26:53,2024-12-09 06:28:06,IP Address,49.245.4.205,100,72,TRUE,2024-12-09 06:28:06,R_4nuE6RdrVhuuMRq,,,,,1.3296,103.8799,anonymous,EN,3b,12,1,1,2,8,4,No,0,,,3,1,,
2024-12-09 06:28:08,2024-12-09 06:29:32,IP Address,49.245.4.205,100,84,TRUE,2024-12-09 06:29:32,R_4nq3krHQtgVWw6H,,,,,1.3296,103.8799,anonymous,EN,4a,31,5,12,2,18,2,No,0,0,1,2,1,,
2024-12-09 06:29:33,2024-12-09 06:30:43,IP Address,49.245.4.205,100,69,TRUE,2024-12-09 06:30:44,R_47BS9pVq18ikTEK,,,,,1.3296,103.8799,anonymous,EN,4b,17,0,0,1,1,0,No,0,1,1,1,4,,
