StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,REF,STRUCTURE_1,STRUCTURE_2,STRUCTURE_3,STRUCTURE_4,DIVERSITY_1,NATIVENESS_1,EXPERTID,CONNECTIVITY_ahead _1,CONNECTIVITY_ahead _2,CONNECTIVITY_ahead _3,CONNECTIVITY_ahead _4,CONNECTIVITY_within_1,SPECIES TALLY_1,SPECIES TALLY_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Write the unique transect reference (e.g. 2b) for this survey and orient yourself,What percentage of the area within this survey block has vegetation? - up to 10cm height,What percentage of the area within this survey block has vegetation? - 10-50cm height,What percentage of the area within this survey block has vegetation? - 50cm to 2m,What percentage of the area within this survey block has vegetation? - 2m+,How many species are visible in this block? - Total,How many NATIVE species are visible in this block? - Total,"Were there any species you struggled to determine the nativeness of? (If 'yes', photograph them for expert ID)","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - up to 10cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 10-50cm height","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 50cm to 2m","How far in metres from the vegetation in this block to the nearest patch of vegetation in the next block on the same side of the street (that you haven't surveyed yet)?
Note: if you're at the end of a series of blocks, measure the distance to the nearest vegetation in the area beyond your block, ahead of you. - 2m+","Within only this block, how long in metres is the largest completely unvegetated gap between patches of vegetation? - Unvegetated area","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - All species","If this is your final block of your entire survey of this street, walk the street one more time and do a total count of all species, noting how many are native. Otherwise please leave blank. - Native species"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID125989747_1""}","{""ImportId"":""QID125989747_2""}","{""ImportId"":""QID125989747_3""}","{""ImportId"":""QID125989747_4""}","{""ImportId"":""QID125989749_1""}","{""ImportId"":""QID125989751_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID125989753_1""}","{""ImportId"":""QID125989753_2""}","{""ImportId"":""QID125989753_3""}","{""ImportId"":""QID125989753_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_4""}"
2024-09-05 23:10:34,2024-09-05 23:14:46,IP Address,1.136.25.1,100,252,TRUE,2024-09-05 23:14:47,R_4X5JKxpZ4rXoDzq,,,,,-37.834,144.9832,anonymous,EN,1b,10,20,,81,1,1,No,,,,1,3,,
2024-09-05 23:14:54,2024-09-05 23:17:24,IP Address,1.136.25.1,100,149,TRUE,2024-09-05 23:17:24,R_40Y9NbCFTKX3sXI,,,,,-37.834,144.9832,anonymous,EN,2b,,,,45,,,No,,,,2,17,,
2024-09-05 23:17:28,2024-09-05 23:19:34,IP Address,1.136.25.1,100,125,TRUE,2024-09-05 23:19:34,R_4hYySo17zJJXpXz,,,,,-37.834,144.9832,anonymous,EN,3b,,,0,60,,,No,,,,4,16,,
2024-09-05 23:19:39,2024-09-05 23:22:53,IP Address,1.136.25.1,100,193,TRUE,2024-09-05 23:22:53,R_4e38FbHdt19AaEC,,,,,-37.834,144.9832,anonymous,EN,4b,,,,20,,,No,,,,4,,,
2024-09-05 23:22:59,2024-09-05 23:24:46,IP Address,1.136.25.1,100,107,TRUE,2024-09-05 23:24:47,R_4ESbTqd4TWq7otQ,,,,,-37.834,144.9832,anonymous,EN,5b,,,,76,,,No,,,,2,15,,
2024-09-05 23:24:50,2024-09-05 23:27:23,IP Address,1.136.25.1,100,152,TRUE,2024-09-05 23:27:24,R_4j8kLZiMXWlvofj,,,,,-37.834,144.9832,anonymous,EN,6b,,,0,24,1,1,No,,,,,3,,
2024-09-05 23:28:32,2024-09-05 23:30:41,IP Address,1.136.25.1,100,129,TRUE,2024-09-05 23:30:41,R_43a6bSXvzmEVKDL,,,,,-37.834,144.9832,anonymous,EN,6a,19,41,,,2,,Yes,,,,,2,,
2024-09-05 23:30:54,2024-09-05 23:33:07,IP Address,1.136.25.1,100,133,TRUE,2024-09-05 23:33:07,R_4HjfSUBvfQsyzFA,,,,,-37.834,144.9832,anonymous,EN,5a,6,,,21,1,,No,,,,5,14,,
